[NodeNum EdgeNum]
17 77

[node]
1 复旦大学
2 同济大学
3 上海交通大学
4 华东理工大学
5 东华大学
6 东师范大学
7 上海外国语大学
8 上海财经大学
9 上海大学
10 上海理工大学
11 上海海事大学
12 上海工程技术大学
13 上海海洋大学
14 上海中医药大学
15 上海师范大学
16 华东政法大学
17 上海海关学院

[line]
1 4 28
1 7 64
1 11 38
1 14 100
1 15 93
2 3 27
2 4 95
2 12 44
2 17 23
3 1 94
3 7 22
3 9 46
3 14 50
3 15 97
3 16 43
4 10 91
4 17 68
5 1 91
5 4 23
5 7 31
5 8 78
5 16 25
6 8 84
6 10 74
6 14 27
6 16 86
7 10 51
7 16 90
8 4 62
8 9 20
8 12 59
8 13 85
9 2 99
9 3 68
9 10 96
9 14 64
9 16 47
10 1 77
10 2 51
10 11 39
10 13 44
10 15 51
11 2 92
11 9 36
11 13 100
11 14 48
11 17 87
12 2 96
12 5 69
12 6 46
12 7 79
12 9 27
12 14 68
12 17 94
13 2 85
13 10 54
14 2 85
14 9 84
14 10 89
15 1 57
15 2 66
15 5 24
15 12 43
15 17 54
16 4 67
16 11 22
16 17 99
17 8 44
17 9 31
17 10 98
17 13 53
17 14 99
17 16 41
