[NodeNum EdgeNum]
20 80

[node]
1 北京工商大学(良乡校区)
2 北京林业大学
3 北京农职院机电工程学院
4 首都师范大学科德学院
5 中国地质大学(北京)
6 北京邮电大学(宏福校区)
7 国家检察官学院
8 中国科学院大学雁栖湖校区西区
9 北京工业大学耿丹学院
10 北京交通职业技术学院
11 中央财经大学(沙河新校区)
12 北京科技职业学院
13 首都医科大学燕京医学院
14 北京理工大学(房山分校)
15 中国石油大学(北京)南校区
16 中央戏剧学院(昌平校区)
17 北京积水潭医院(回龙观院区)
18 北京开放大学(顺义分校)
19 北京市工贸技师学院机电分院(沙河校区)
20 北京科技经营管理学院(沙河新校区)

[line]
1 8 73
1 13 50
2 5 85
2 6 37
2 9 70
3 6 42
3 7 94
3 8 25
3 9 40
3 14 79
4 5 60
4 6 46
4 7 52
4 10 98
4 11 72
4 15 26
4 17 55
5 1 51
5 2 67
5 7 26
5 8 23
5 9 87
5 14 75
6 1 84
6 2 80
6 12 63
7 1 47
7 2 69
7 4 85
7 14 71
7 17 84
7 19 81
8 6 63
8 16 61
9 1 76
9 2 54
9 13 37
9 15 33
9 17 86
10 8 24
10 11 80
10 16 57
11 2 44
11 3 62
11 4 23
12 2 83
12 3 73
12 9 86
12 10 75
12 17 25
13 7 93
13 20 93
14 6 20
14 16 27
15 1 91
15 7 76
16 3 82
16 10 74
16 14 54
16 15 41
16 18 71
17 8 71
17 12 96
18 4 22
18 7 69
18 9 88
18 15 43
18 20 67
19 2 24
19 13 95
19 18 90
20 1 30
20 3 41
20 7 69
20 9 26
20 12 34
20 18 97
