[NodeNum EdgeNum]
18 82

[node]
1 哈佛大学
2 普林斯顿大学
3 耶鲁大学
4 哥伦比亚大学
5 芝加哥大学
6 麻省理工学院
7 斯坦福大学
8 杜克大学
9 宾夕法尼亚大学
10 加州理工学院
11 达特茅斯学院
12 西北大学
13 约翰霍普金斯大学
14 华盛顿大学-圣路易斯
15 布朗大学
16 康奈尔大学
17 莱斯大学
18 圣母大学

[line]
1 9 89
1 10 74
1 16 84
1 17 67
2 1 25
2 4 55
2 13 61
2 14 77
2 15 40
3 8 44
3 13 95
3 15 37
4 2 60
4 3 81
4 8 38
4 14 21
4 16 79
5 10 30
5 15 64
5 16 25
6 2 80
6 4 69
6 10 58
6 11 58
6 12 37
6 16 36
7 4 75
7 16 32
8 5 66
8 9 99
8 13 59
8 14 83
8 15 81
8 17 83
9 2 60
9 6 36
9 10 54
9 13 54
10 9 63
10 13 92
11 3 71
11 9 86
11 10 75
11 13 25
11 17 23
11 18 53
12 5 93
12 7 62
12 8 77
12 10 52
12 11 42
12 13 30
12 14 58
13 4 68
13 8 92
13 9 80
13 12 94
13 15 92
14 4 89
14 9 86
14 16 54
14 17 97
15 2 95
15 13 38
15 14 81
16 2 62
16 5 34
16 8 66
16 14 51
17 1 61
17 15 41
18 3 65
18 4 47
18 7 87
18 8 29
18 10 92
18 11 84
18 13 97
