[NodeNum EdgeNum]
25 90

[node]
1 1市
2  2市
3  3市 
4  4市
5  5市
6  6市
7  7市
8  8市
9  9市
10  10市
11  11市
12  12市
13  13市
14  14市
15  15市
16  16市
17  A市
18  S市
19  B市
20  D市
21  T市
22  C省
23  嘉定
24  四平
25  徐汇

[line]
1 18 14.5
1 19 11.7
1 25 27.9
2 3 20.1
2 24 45.6
2 21 37.7
2 18 43.6
3 17 38.4
3 20 37.5
3 23 22.2
3 12 30.3
3 19 25.1
4 20 23.6
4 18 49.1
4 14 33.7
4 10 40.6
5 2 42.3
5 18 32.3
5 13 50.7
5 6 23.4
5 1 47.1
6 8 50.8
6 3 21.5
6 16 36.7
6 13 12.8
6 19 29.3
7 23 40.9
7 22 25.2
7 2 41.2
7 10 51
7 5 48.5
8 10 48.1
8 5 45.5
8 17 42.1
8 7 21.5
8 11 39.3
8 21 5.5
9 3 23.2
10 2 48.7
10 23 1.7
10 18 16
10 1 10
11 23 2
11 24 2
12 3 40.2
12 21 44.4
13 16 12.3
13 21 23.1
13 2 7.8
13 15 21.7
13 12 34.7
14 10 19.2
14 19 47.6
14 20 28.1
14 15 21.5
15 2 14.8
15 25 21.9
15 17 9.8
16 2 22
17 16 22
17 12 2.5
18 11 48.3
18 5 10.6
18 25 50
18 3 8.8
18 4 5.7
19 7 46.1
20 5 40.5
20 13 11.9
20 24 49
20 2 35.2
20 19 39.5
21 4 29.8
21 5 17.3
21 1 16.5
21 2 19.3
21 8 1.8
22 1 4.5
22 4 2.1
22 7 2.8
23 3 30.4
23 8 48
23 15 46.5
24 5 11.3
24 8 47.1
24 14 28.3
24 7 6.1
24 25 51
25 11 30.6
25 20 46.1
