[NodeNum EdgeNum]
15 75

[node]
1 杭州市
2 宁波市
3 绍兴市 
4 温州市
5 台州市
6 湖州市
7 嘉兴市
8 金华市
9 舟山市
10 衢州市
11 丽水市
12 余姚市
13 乐清市
14 临海市
15 温岭市

[line]
1 2 4.2
1 3 38.7
1 15 9.5
1 5 18.7
1 14 6.2
2 10 29.4
2 11 4.2
2 5 24
2 15 7.7
2 9 19.8
3 11 11.8
3 1 33
3 10 45.1
3 12 18.9
3 4 12.3
4 6 39.8
4 11 8.6
4 9 20.2
4 3 9.3
4 7 34.2
5 15 11.1
5 9 0.9
5 6 47.6
5 2 5.1
5 10 6.2
6 12 42
6 3 16.5
6 1 4.5
6 14 0.7
6 8 47.9
7 10 35.9
7 12 7.3
7 15 4.2
7 8 8.5
7 5 10.3
8 6 18.9
8 14 0.3
8 10 47.4
8 9 19.2
8 11 22.3
9 10 26.2
9 3 13.5
9 5 25.2
9 2 35.1
9 4 23.1
10 2 36.1
10 1 2.7
10 7 30.7
10 6 36
10 4 33
11 13 25.9
11 5 23.2
11 1 33.1
11 6 39.3
11 12 24
12 15 15.1
12 3 0.7
12 9 17.9
12 5 15.2
12 10 45.3
13 4 8.1
13 14 45.9
13 7 48.8
13 9 26.2
13 3 19.8
14 15 14.2
14 4 5
14 9 33
14 1 3.4
14 7 24.2
15 12 48.8
15 8 38.6
15 10 19.5
15 1 18.1
15 3 30.7
